 	gene_name
IGFBP1	IGFBP1
MGP	MGP
CCL26	CCL26
SAA1	SAA1
MMP1	MMP1
SERPINB2	SERPINB2
LCN2	LCN2
SAA2	SAA2
TAGLN	TAGLN
IGFN1	IGFN1
CCL7	CCL7
AREG	AREG
TOP2A	TOP2A
CCL20	CCL20
CHI3L1	CHI3L1
SPINK1	SPINK1
RRAD	RRAD
RBP4	RBP4
G0S2	G0S2
CXCL3	CXCL3
AKR1C2	AKR1C2
CRYAB	CRYAB
IL11	IL11
GDF15	GDF15
IGFBP5	IGFBP5
HSPA6	HSPA6
DPY19L4	DPY19L4
SLPI	SLPI
HSPA1A	HSPA1A
AKAP12	AKAP12
IL1B	IL1B
SHANK2	SHANK2
PRC1	PRC1
CENPF	CENPF
PTX3	PTX3
PLAAT4	PLAAT4
CYP1A1	CYP1A1
MKI67	MKI67
CLEC4E	CLEC4E
S100A9	S100A9
DDIT3	DDIT3
CXCL1	CXCL1
MMP3	MMP3
CCL2	CCL2
PTGS2	PTGS2
IL24	IL24
CXCL6	CXCL6
TPX2	TPX2
KRT7	KRT7
TNFAIP6	TNFAIP6
LHX1	LHX1
KRT19	KRT19
UBE2C	UBE2C
SPP1	SPP1
IL6	IL6
APCS	APCS
CD24	CD24
RIMKLB	RIMKLB
SFN	SFN
TM4SF1	TM4SF1
CMBL	CMBL
AKR1C1	AKR1C1
AKR1C3	AKR1C3
MMP7	MMP7
HOOK1	HOOK1
FXYD2	FXYD2
PCLAF	PCLAF
MT1X	MT1X
SPARC	SPARC
IL33	IL33
ISG20	ISG20
EDN1	EDN1
CSF3	CSF3
CCNB1	CCNB1
PDZK1IP1	PDZK1IP1
INHBA	INHBA
CLDN16	CLDN16
CEMIP	CEMIP
PBX1	PBX1
KIF23	KIF23
MMP10	MMP10
HMGB2	HMGB2
PAX8	PAX8
HMOX1	HMOX1
ARHGAP29	ARHGAP29
CXCL8	CXCL8
CXCL2	CXCL2
CLDN1	CLDN1
DEFB1	DEFB1
CXCL5	CXCL5
FANCI	FANCI
CDKN1A	CDKN1A
SYNE2	SYNE2
KRT18	KRT18
PTTG1	PTTG1
GADD45A	GADD45A
ID1	ID1
CKS2	CKS2
PI3	PI3
NUSAP1	NUSAP1
COL1A1	COL1A1
EPCAM	EPCAM
TXNIP	TXNIP
RRM2	RRM2
LAMB3	LAMB3
IFIT3	IFIT3
LRRC28	LRRC28
DSP	DSP
ACTA2	ACTA2
CFB	CFB
KPNA2	KPNA2
CKB	CKB
CKS1B	CKS1B
GMCL1	GMCL1
SPON2	SPON2
S100A2	S100A2
ATP1B1	ATP1B1
ALDH1A1	ALDH1A1
TPD52L1	TPD52L1
SERPINE1	SERPINE1
DNAJB1	DNAJB1
ASRGL1	ASRGL1
NNMT	NNMT
TYMS	TYMS
STC1	STC1
FGFBP1	FGFBP1
DCDC2	DCDC2
PLAU	PLAU
DNAJC15	DNAJC15
ASPM	ASPM
DNAH5	DNAH5
TGFBI	TGFBI
TMEM158	TMEM158
UBE2S	UBE2S
KRT8	KRT8
KRTAP2-3	KRTAP2-3
GTSE1	GTSE1
SPINT2	SPINT2
CGNL1	CGNL1
LAMA1	LAMA1
LCP1	LCP1
CCNB2	CCNB2
TGM2	TGM2
TCIM	TCIM
TMPO	TMPO
ARRDC4	ARRDC4
IQCD	IQCD
HMMR	HMMR
CDK1	CDK1
FGF7	FGF7
GREM1	GREM1
COL6A3	COL6A3
CLU	CLU
CD47	CD47
COL3A1	COL3A1
PAPPA	PAPPA
ITGA3	ITGA3
ID3	ID3
TUBA4A	TUBA4A
MANEA	MANEA
ARL6IP1	ARL6IP1
FOLR1	FOLR1
