ligand,receptor,dist,correspondence,dist,correspondence,diff2,FC,p_val,q_val,enriched_rank
IL6,MET,0.004770472024462659,1.0019588,0.0015500963841001026,4.3049526,1.0370819265040546e-05,18.820688604310327,1.436009846422781e-05,0.03652110494462821,1
IL6,IL6ST,0.007103639840492926,0.50357705,0.0041437685066484575,1.9755459,8.760838312914235e-06,15.898937739266987,6.681620795589982e-05,0.0678811988469504,2
FGF7,EPHB2,0.003710083271095103,4.5654263,0.00652153945307213,0.6068597,7.904285863176843e-06,14.344489000187203,0.0001522246251915993,0.09561364541116622,3
KITLG,EPHB2,0.01437013231274986,0.18063477,0.017115273244524516,0.006525259,7.535798735304625e-06,13.675768303090706,0.0002172395976253183,0.11243074264229848,4
CXCL2,DPP4,0.007345403215796584,0.39788982,0.004626322077163033,1.6432064,7.393402238472727e-06,13.417350905513258,0.0002493075225515895,0.12018759041593846,5
IL6,INSR,0.012838420973710669,0.07927116,0.010119400219318416,0.36845782,7.3930738628158145e-06,13.41675497805314,0.000249386735991064,0.12019910052820802,6
IL6,SLC52A2,0.009364350454816872,0.29684728,0.006715130145833471,1.157728,7.018368245530108e-06,12.736749130781961,0.0003585403518724384,0.14312988098700136,7
LAMA4,ITGB8,0.0057026519142259376,0.92890596,0.00311682913073098,1.2725097,6.68647946764161e-06,12.134446151598752,0.00049498966759709,0.16762004097951264,8
IL6,HRH1,0.013680089204062188,0.06707756,0.01122086638922785,0.15560934,6.047776853001723e-06,10.975345533442415,0.0009233203795782075,0.22483815798427104,9
PDGFA,EPHB2,0.011740548389173532,0.3399522,0.014197849653481342,0.021322126,6.0383295035687626e-06,10.958200733473408,0.00093190260931586,0.22585227168017236,10
EFNB1,EPHB2,0.012948283595493349,0.22551648,0.015393303184111732,0.017036244,5.978120788727606e-06,10.848935549659918,0.0009885256366898298,0.23212589134512898,11
FGF18,EPHB2,0.016457229017593143,0.057911582,0.01884623152974717,0.0041471305,5.70733300307826e-06,10.357517035720832,0.001289485251546485,0.2615758531073995,12
IL6,VEGFA,0.00872375362673805,0.34470052,0.006364970558344257,0.7978908,5.563857563741233e-06,10.097141601811634,0.0014849948233175425,0.27949345762945116,13
